No.;Kode;Nama Emiten;Keterangan
563;TKIM;Pabrik Kertas Tjiwi Kimia Tbk.;
564;TLDN;Teladan Prima Agro Tbk.;
565;TLKM;Telkom Indonesia (Persero) Tbk.;
566;TMAS;Temas Tbk.;
567;TMPO;Tempo Intimedia Tbk.;
568;TNCA;Trimuda Nuansa Citra Tbk.;
569;TOBA;TBS Energi Utama Tbk.;
570;TOOL;Rohartindo Nusantara Luas Tbk.;
571;TOPS;Totalindo Eka Persada Tbk.;
572;TOSK;Topindo Solusi Komunika Tbk.;
573;TOTL;Total Bangun Persada Tbk.;
574;TOTO;Surya Toto Indonesia Tbk.;
575;TPIA;Chandra Asri Pacific Tbk.;
576;TPMA;Trans Power Marine Tbk.;
577;TRIS;Trisula International Tbk.;
578;TRON;Teknologi Karya Digital Nusa Tbk.;
579;TRST;Trias Sentosa Tbk.;
580;TRUE;Triniti Dinamik Tbk.;
581;TRUK;Guna Timur Raya Tbk.;
582;TSPC;Tempo Scan Pacific Tbk.;
583;TYRE;King Tire Indonesia Tbk.;
584;UANG;Pakuan Tbk.;
585;UCID;Uni-Charm Indonesia Tbk.;
586;UFOE;Damai Sejahtera Abadi Tbk.;
587;ULTJ;Ultrajaya Milk Industry & Trading Company Tbk.;
588;UNIC;Unggul Indah Cahaya Tbk.;
589;UNIQ;Ulima Nitra Tbk.;
590;UNTD;Terang Dunia Internusa Tbk.;
591;UNTR;United Tractors Tbk.;
592;UNVR;Unilever Indonesia Tbk.;
593;UVCR;Trimegah Karya Pratama Tbk.;
594;VAST;Vastland Indonesia Tbk.;
595;VERN;Verona Indah Pictures Tbk.;
596;VICI;Victoria Care Indonesia Tbk.;
597;VISI;Satu Visi Putra Tbk.;
598;VKTR;VKTR Teknologi Mobilitas Tbk.;
599;VOKS;Voksel Electric Tbk.;
600;WAPO;Wahana Pronatural Tbk.;
601;WEGE;Wijaya Karya Bangunan Gedung Tbk.;
602;WEHA;WEHA Transportasi Indonesia Tbk.;
603;WIFI;Solusi Sinergi Digital Tbk.;
604;WINR;Winner Nusantara Jaya Tbk.;
605;WINS;Wintermar Offshore Marine Tbk.;
606;WIRG;WIR ASIA Tbk.;
607;WMUU;Widodo Makmur Unggas Tbk.;
608;WOOD;Integra Indocabinet Tbk.;
609;WOWS;Ginting Jaya Energi Tbk.;
610;WTON;Wijaya Karya Beton Tbk.;
611;YELO;Yelooo Integra Datanet Tbk.;
612;YPAS;Yanaprima Hastapersada Tbk;
613;ZATA;Bersama Zatta Jaya Tbk.;
614;ZBRA;Dosni Roha Indonesia Tbk.;
615;ZONE;Mega Perintis Tbk.;
616;ZYRX;Zyrexindo Mandiri Buana Tbk.;
