No.;Kode;Nama Emiten;Keterangan
117;CGAS;Citra Nusantara Gemilang Tbk.;
118;CHEM;Chemstar Indonesia Tbk.;
119;CINT;Chitose Internasional Tbk.;
120;CITA;Cita Mineral Investindo Tbk.;
121;CITY;Natura City Developments Tbk.;
122;CLEO;Sariguna Primatirta Tbk.;
123;CLPI;Colorpak Indonesia Tbk.;
124;CMNP;Citra Marga Nusaphala Persada Tbk.;
125;CMPP;AirAsia Indonesia Tbk.;
126;CMRY;Cisarua Mountain Dairy Tbk.;
127;CNMA;Nusantara Sejahtera Raya Tbk.;
128;COAL;Black Diamond Resources Tbk.;
129;CPIN;Charoen Pokphand Indonesia Tbk;
130;CPRO;Central Proteina Prima Tbk.;
131;CRAB;Toba Surimi Industries Tbk.;
132;CRSN;Carsurin Tbk.;
133;CSAP;Catur Sentosa Adiprana Tbk.;
134;CSIS;Cahayasakti Investindo Sukses Tbk.;
135;CSMI;Cipta Selera Murni Tbk.;
136;CSRA;Cisadane Sawit Raya Tbk.;
137;CTBN;Citra Tubindo Tbk.;
138;CTRA;Ciputra Development Tbk.;
139;CYBR;ITSEC Asia Tbk.;
140;DAAZ;Daaz Bara Lestari Tbk.;
141;DADA;Diamond Citra Propertindo Tbk.;
142;DATA;Remala Abadi Tbk.;
143;DAYA;Duta Intidaya Tbk.;
144;DCII;DCI Indonesia Tbk.;
145;DEPO;Caturkarda Depo Bangunan Tbk.;
146;DEWA;Darma Henwa Tbk;
147;DEWI;Dewi Shri Farmindo Tbk.;
148;DGIK;Nusa Konstruksi Enjiniring Tbk.;
149;DGNS;Diagnos Laboratorium Utama Tbk.;
150;DILD;Intiland Development Tbk.;
151;DIVA;Distribusi Voucher Nusantara Tbk.;
152;DKFT;Central Omega Resources Tbk.;
153;DMAS;Puradelta Lestari Tbk.;
154;DMMX;Digital Mediatama Maxima Tbk.;
155;DMND;Diamond Food Indonesia Tbk.;
156;DOOH;Era Media Sejahtera Tbk.;
157;DRMA;Dharma Polimetal Tbk.;
158;DSFI;Dharma Samudera Fishing Industries Tbk.;
159;DSNG;Dharma Satya Nusantara Tbk.;
160;DSSA;Dian Swastatika Sentosa Tbk;
161;DUTI;Duta Pertiwi Tbk;
162;DVLA;Darya-Varia Laboratoria Tbk.;
163;DWGL;Dwi Guna Laksana Tbk.;
164;DYAN;Dyandra Media International Tbk.;
165;EAST;Eastparc Hotel Tbk.;
166;ECII;Electronic City Indonesia Tbk.;
167;EDGE;Indointernet Tbk.;
168;EKAD;Ekadharma International Tbk.;
169;ELIT;Data Sinergitama Jaya Tbk.;
170;ELPI;Pelayaran Nasional Ekalya Purnamasari Tbk.;
171;ELSA;Elnusa Tbk.;
172;ELTY;Bakrieland Development Tbk.;
173;EMDE;Megapolitan Developments Tbk.;
174;EMTK;Elang Mahkota Teknologi Tbk.;
175;ENAK;Champ Resto Indonesia Tbk.;
176;ENRG;Energi Mega Persada Tbk.;
177;ENZO;Morenzo Abadi Perkasa Tbk.;
178;EPAC;Megalestari Epack Sentosaraya Tbk.;
179;EPMT;Enseval Putera Megatrading Tbk.;
180;ERAA;Erajaya Swasembada Tbk.;
181;ERAL;Sinar Eka Selaras Tbk.;
182;ESIP;Sinergi Inti Plastindo Tbk.;
183;ESSA;ESSA Industries Indonesia Tbk.;
184;ESTA;Esta Multi Usaha Tbk.;
185;EXCL;XL Axiata Tbk.;
186;FAPA;FAP Agri Tbk.;
187;FAST;Fast Food Indonesia Tbk.;
188;FILM;MD Entertainment Tbk.;
189;FIRE;Alfa Energi Investama Tbk.;
190;FISH;FKS Multi Agro Tbk.;
191;FITT;Hotel Fitra International Tbk.;
192;FMII;Fortune Mate Indonesia Tbk;
193;FOLK;Multi Garam Utama Tbk.;
194;FOOD;Sentra Food Indonesia Tbk.;
195;FORU;Fortune Indonesia Tbk;
196;FPNI;Lotte Chemical Titan Tbk.;
197;FREN;Smartfren Telecom Tbk.;
198;FUTR;Lini Imaji Kreasi Ekosistem Tbk.;
199;FWCT;Wijaya Cahaya Timber Tbk.;
200;GDST;Gunawan Dianjaya Steel Tbk.;
201;GDYR;Goodyear Indonesia Tbk.;
202;GEMA;Gema Grahasarana Tbk.;
203;GEMS;Golden Energy Mines Tbk.;
204;GGRP;Gunung Raja Paksi Tbk.;
205;GHON;Gihon Telekomunikasi Indonesia Tbk.;
206;GIAA;Garuda Indonesia (Persero) Tbk.;
207;GJTL;Gajah Tunggal Tbk.;
208;GLVA;Galva Technologies Tbk.;
209;GMTD;Gowa Makassar Tourism Development Tbk.;
210;GOLD;Visi Telekomunikasi Infrastruktur Tbk.;
211;GOLF;Intra Golflink Resorts Tbk.;
