Ordered Items;Lot Done;Price;Amount Done;Total Fee;Net Amount;Realized P&L;Date
EXCL;20;2,090;4,180,000;8,360;4,171,640;+33,005 (+0.8%);9 Jun 2023
DIVIDEND ADRO;62;240.78;1,492,836;-;1,492,836;+1,492,836;6 Jun 2023
DIVIDEND POWR;70;41.68;291,796;-;291,796;+291,796;6 Jun 2023
JPFA;50;1,180;5,900,000;11,800;5,888,200;+203,521 (+3.58%);6 Jun 2023
ASII;11;6,875;7,562,500;15,125;7,547,375;+1,378,713 (+22.35%);5 Jun 2023
DIVIDEND EXCL;20;42;84,000;-;84,000;+84,000;31 May 2023
DIVIDEND ASII;11;552;607,200;-;607,200;+607,200;19 May 2023
ACES;10;535;535,000;1,070;533,930;+87,484 (+19.6%);11 May 2023
DIVIDEND BNGA;110;115.16;1,266,760;-;1,266,760;+1,266,760;10 May 2023
DIVIDEND BJBR;620;104.55;6,482,100;-;6,482,100;+6,482,100;4 May 2023
DIVIDEND JPFA;40;50;200,000;-;200,000;+200,000;3 May 2023
DIVIDEND SIDO;150;23;345,000;-;345,000;+345,000;28 Apr 2023
DIVIDEND BBCA;5;170;85,000;-;85,000;+85,000;14 Apr 2023
DIVIDEND BBRI;12;231.22;277,466;-;277,466;+277,466;12 Apr 2023
PTBA;3;4,010;1,203,000;2,406;1,200,594;+72,467 (+6.42%);3 Apr 2023
TLKM;4;4,070;1,628,000;3,256;1,624,744;+135,256 (+9.08%);3 Apr 2023
MPMX;10;1,220;1,220,000;2,440;1,217,560;+110,454 (+9.98%);3 Apr 2023
BBRI;12;4,780;5,736,000;11,472;5,724,528;+246,055 (+4.49%);3 Apr 2023
BBCA;5;8,800;4,400,000;8,800;4,391,200;+299,613 (+7.32%);3 Apr 2023
UNTR;1;27,350;2,735,000;5,470;2,729,530;+227,030 (+9.07%);14 Mar 2023
ERAA;35;515;1,802,500;3,605;1,798,895;+165,149 (+10.11%);6 Mar 2023
ERAA;430;515;22,145,000;44,290;22,100,710;+2,028,968 (+10.11%);6 Mar 2023
ANTM;46;2,370;10,902,000;21,804;10,880,196;+1,031,934 (+10.48%);1 Feb 2023
DIVIDEND BBRI;6;57;34,200;-;34,200;+34,200;27 Jan 2023
DIVIDEND ADRO;51;251.28;1,281,528;-;1,281,528;+1,281,528;13 Jan 2023
DIVIDEND BBCA;1;35;3,500;-;3,500;+3,500;20 Dec 2022
BBRI;1;4,940;494,000;988;493,012;+58,578 (+13.48%);19 Dec 2022
BBCA;2;8,650;1,730,000;3,460;1,726,540;+39,855 (+2.36%);19 Dec 2022
DIVIDEND SIDO;140;13.50;189,000;-;189,000;+189,000;18 Nov 2022
INDF;27;6,225;16,807,500;33,615;16,773,885;+207,335 (+1.25%);20 Oct 2022
MYOR;139;2,120;29,468,000;58,936;29,409,064;+177,179 (+0.61%);17 Oct 2022
DIVIDEND MYOR;139;21;291,900;-;291,900;+291,900;27 Jul 2022
DIVIDEND ERAA;234;22.80;533,520;-;533,520;+533,520;27 Jul 2022
ASII;19;6,250;11,875,000;23,750;11,851,250;+653,937 (+5.84%);11 Mar 2022
BBNI;8;7,075;5,660,000;11,320;5,648,680;+206,341 (+3.79%);21 Jan 2022
