symbol,historical
BULL.JK,[]
ANTM.JK,"[{'date': '2024-05-21', 'label': 'May 21, 24', 'adjDividend': 128.0712, 'dividend': 128.0712, 'recordDate': '2024-05-22', 'paymentDate': '2024-06-07', 'declarationDate': ''}, {'date': '2023-06-26', 'label': 'June 26, 23', 'adjDividend': 79.5016, 'dividend': 79.5016, 'recordDate': '2023-06-27', 'paymentDate': '2023-07-14', 'declarationDate': ''}, {'date': '2022-06-06', 'label': 'June 06, 22', 'adjDividend': 38.73666, 'dividend': 38.73666, 'recordDate': '2022-06-07', 'paymentDate': '2022-06-24', 'declarationDate': ''}, {'date': '2021-04-16', 'label': 'April 16, 21', 'adjDividend': 16.73994, 'dividend': 16.73994, 'recordDate': '2021-04-19', 'paymentDate': '2021-05-07', 'declarationDate': ''}, {'date': '2020-06-22', 'label': 'June 22, 20', 'adjDividend': 2.82, 'dividend': 2.82, 'recordDate': '2020-06-23', 'paymentDate': '2020-07-15', 'declarationDate': ''}, {'date': '2019-05-06', 'label': 'May 06, 19', 'adjDividend': 12.74, 'dividend': 12.74, 'recordDate': '2019-05-07', 'paymentDate': '2019-05-24', 'declarationDate': ''}, {'date': '2018-04-20', 'label': 'April 20, 18', 'adjDividend': 1.99, 'dividend': 1.99, 'recordDate': '2018-04-24', 'paymentDate': '2018-05-16', 'declarationDate': ''}, {'date': '2014-04-30', 'label': 'April 30, 14', 'adjDividend': 8.12258, 'dividend': 8.12258, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-05-30', 'label': 'May 30, 13', 'adjDividend': 39.55317, 'dividend': 39.55317, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-06-28', 'label': 'June 28, 12', 'adjDividend': 76.4295, 'dividend': 76.4295, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-07-07', 'label': 'July 07, 11', 'adjDividend': 59.39476, 'dividend': 59.39476, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-06-29', 'label': 'June 29, 10', 'adjDividend': 21.32113, 'dividend': 21.32113, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-06-18', 'label': 'June 18, 09', 'adjDividend': 48.27053, 'dividend': 48.27053, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-07-18', 'label': 'July 18, 08', 'adjDividend': 180.78821, 'dividend': 180.78821, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-06-22', 'label': 'June 22, 07', 'adjDividend': 54.69593, 'dividend': 273.4796, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-06-21', 'label': 'June 21, 06', 'adjDividend': 25.20771, 'dividend': 126.0385, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
BDKR.JK,"[{'date': '2024-05-21', 'label': 'May 21, 24', 'adjDividend': 5, 'dividend': 5, 'recordDate': '2024-05-22', 'paymentDate': '2024-06-12', 'declarationDate': ''}]"
TOBA.JK,"[{'date': '2023-06-19', 'label': 'June 19, 23', 'adjDividend': 12.76211, 'dividend': 12.76211, 'recordDate': '2023-06-20', 'paymentDate': '2023-07-12', 'declarationDate': ''}, {'date': '2017-06-06', 'label': 'June 06, 17', 'adjDividend': 1.38782, 'dividend': 5.5513, 'recordDate': '2017-06-08', 'paymentDate': '2017-06-21', 'declarationDate': ''}, {'date': '2016-06-01', 'label': 'June 01, 16', 'adjDividend': 1.92023, 'dividend': 7.6809, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-04-24', 'label': 'April 24, 15', 'adjDividend': 5.50487, 'dividend': 22.0195, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-09-23', 'label': 'September 23, 14', 'adjDividend': 4.45233, 'dividend': 17.8093, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-06-27', 'label': 'June 27, 14', 'adjDividend': 0.0008, 'dividend': 0.0032, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-08-14', 'label': 'August 14, 13', 'adjDividend': 0.0007, 'dividend': 0.0028, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
BRPT.JK,"[{'date': '2024-06-27', 'label': 'June 27, 24', 'adjDividend': 0.873, 'dividend': 0.8744, 'recordDate': '2024-06-28', 'paymentDate': '2024-07-19', 'declarationDate': ''}, {'date': '2023-06-21', 'label': 'June 21, 23', 'adjDividend': 1.59, 'dividend': 1.59, 'recordDate': '2023-06-22', 'paymentDate': '2023-07-14', 'declarationDate': ''}, {'date': '2022-05-23', 'label': 'May 23, 22', 'adjDividend': 3.10871, 'dividend': 3.1218, 'recordDate': '2022-05-24', 'paymentDate': '2022-06-10', 'declarationDate': ''}, {'date': '2021-05-19', 'label': 'May 19, 21', 'adjDividend': 2.71298, 'dividend': 2.7244, 'recordDate': '2021-05-20', 'paymentDate': '2021-06-04', 'declarationDate': ''}, {'date': '2018-12-17', 'label': 'December 17, 18', 'adjDividend': 2.81415, 'dividend': 14.0118, 'recordDate': '2018-12-18', 'paymentDate': '2018-12-21', 'declarationDate': ''}, {'date': '2018-06-27', 'label': 'June 27, 18', 'adjDividend': 4.86551, 'dividend': 24.2256, 'recordDate': '2018-06-29', 'paymentDate': '2018-07-18', 'declarationDate': ''}]"
ESSA.JK,"[{'date': '2024-04-01', 'label': 'April 01, 24', 'adjDividend': 5, 'dividend': 5, 'recordDate': '2024-04-02', 'paymentDate': '2024-04-19', 'declarationDate': ''}, {'date': '2023-03-28', 'label': 'March 28, 23', 'adjDividend': 45, 'dividend': 45, 'recordDate': '2023-03-29', 'paymentDate': '2023-04-05', 'declarationDate': ''}, {'date': '2022-06-16', 'label': 'June 16, 22', 'adjDividend': 5, 'dividend': 5, 'recordDate': '2022-06-17', 'paymentDate': '2022-06-28', 'declarationDate': ''}]"
TLKM.JK,"[{'date': '2024-05-16', 'label': 'May 16, 24', 'adjDividend': 178.50418, 'dividend': 178.50418, 'recordDate': '2024-05-17', 'paymentDate': '2024-05-30', 'declarationDate': ''}, {'date': '2023-06-12', 'label': 'June 12, 23', 'adjDividend': 167.59869, 'dividend': 167.59869, 'recordDate': '2023-06-13', 'paymentDate': '2023-07-05', 'declarationDate': ''}, {'date': '2022-06-08', 'label': 'June 08, 22', 'adjDividend': 149.96561, 'dividend': 149.9656, 'recordDate': '2022-06-09', 'paymentDate': '2022-06-30', 'declarationDate': ''}, {'date': '2021-06-09', 'label': 'June 09, 21', 'adjDividend': 168.01, 'dividend': 168.01, 'recordDate': '2021-06-10', 'paymentDate': '2021-07-02', 'declarationDate': ''}, {'date': '2020-06-30', 'label': 'June 30, 20', 'adjDividend': 154.06821, 'dividend': 154.068, 'recordDate': '2020-07-01', 'paymentDate': '2020-07-23', 'declarationDate': ''}, {'date': '2019-06-12', 'label': 'June 12, 19', 'adjDividend': 54.6075, 'dividend': 54.6075, 'recordDate': '2019-06-13', 'paymentDate': '2019-06-27', 'declarationDate': ''}, {'date': '2018-05-08', 'label': 'May 08, 18', 'adjDividend': 33.532, 'dividend': 33.532, 'recordDate': '2018-05-11', 'paymentDate': '2018-05-31', 'declarationDate': ''}, {'date': '2017-05-03', 'label': 'May 03, 17', 'adjDividend': 117.3675, 'dividend': 117.368, 'recordDate': '2017-05-05', 'paymentDate': '2017-05-26', 'declarationDate': ''}, {'date': '2016-12-15', 'label': 'December 15, 16', 'adjDividend': 19.379, 'dividend': 19.379, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2016-05-02', 'label': 'May 02, 16', 'adjDividend': 15.773, 'dividend': 15.773, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-04-27', 'label': 'April 27, 15', 'adjDividend': 14.91, 'dividend': 14.91, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-04-29', 'label': 'April 29, 14', 'adjDividend': 102.401, 'dividend': 102.401, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-05-30', 'label': 'May 30, 13', 'adjDividend': 13.4212, 'dividend': 67.106, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-06-06', 'label': 'June 06, 12', 'adjDividend': 11.42594, 'dividend': 57.1297, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-06-14', 'label': 'June 14, 11', 'adjDividend': 59.22592, 'dividend': 296.1296, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-12-23', 'label': 'December 23, 10', 'adjDividend': 5.35, 'dividend': 26.75, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-07-08', 'label': 'July 08, 10', 'adjDividend': 52.28298, 'dividend': 261.4149, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-12-10', 'label': 'December 10, 09', 'adjDividend': 5.33, 'dividend': 26.65, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-07-07', 'label': 'July 07, 09', 'adjDividend': 59.3887, 'dividend': 296.9435, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-10-10', 'label': 'October 10, 08', 'adjDividend': 19.59928, 'dividend': 97.9964, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-07-14', 'label': 'July 14, 08', 'adjDividend': 61.91832, 'dividend': 309.5916, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-11-30', 'label': 'November 30, 07', 'adjDividend': 9.69, 'dividend': 48.45, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-07-23', 'label': 'July 23, 07', 'adjDividend': 50.951, 'dividend': 254.755, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-12-22', 'label': 'December 22, 06', 'adjDividend': 9.69, 'dividend': 48.45, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-07-24', 'label': 'July 24, 06', 'adjDividend': 43.7622, 'dividend': 218.811, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-07-18', 'label': 'July 18, 05', 'adjDividend': 28.9804, 'dividend': 144.902, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-12-27', 'label': 'December 27, 04', 'adjDividend': 1.4224, 'dividend': 7.112, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
WGSH.JK,"[{'date': '2024-07-02', 'label': 'July 02, 24', 'adjDividend': 1, 'dividend': 1, 'recordDate': '2024-07-03', 'paymentDate': '2024-07-25', 'declarationDate': ''}, {'date': '2023-06-16', 'label': 'June 16, 23', 'adjDividend': 4, 'dividend': 4, 'recordDate': '2023-06-19', 'paymentDate': '2023-07-07', 'declarationDate': ''}, {'date': '2022-06-17', 'label': 'June 17, 22', 'adjDividend': 1, 'dividend': 1, 'recordDate': '2022-06-20', 'paymentDate': '2022-07-08', 'declarationDate': ''}]"
GGRM.JK,"[{'date': '2023-07-10', 'label': 'July 10, 23', 'adjDividend': 1200, 'dividend': 1200, 'recordDate': '2023-07-11', 'paymentDate': '2023-07-18', 'declarationDate': ''}, {'date': '2022-07-11', 'label': 'July 11, 22', 'adjDividend': 2250, 'dividend': 2250, 'recordDate': '2022-07-12', 'paymentDate': '2022-07-28', 'declarationDate': ''}, {'date': '2021-07-19', 'label': 'July 19, 21', 'adjDividend': 2600, 'dividend': 2600, 'recordDate': '2021-07-21', 'paymentDate': '2021-07-29', 'declarationDate': ''}, {'date': '2019-07-05', 'label': 'July 05, 19', 'adjDividend': 2600, 'dividend': 2600, 'recordDate': '2019-07-08', 'paymentDate': '2019-07-25', 'declarationDate': ''}, {'date': '2018-07-04', 'label': 'July 04, 18', 'adjDividend': 2600, 'dividend': 2600, 'recordDate': '2018-07-06', 'paymentDate': '2018-07-26', 'declarationDate': ''}, {'date': '2017-07-04', 'label': 'July 04, 17', 'adjDividend': 2600, 'dividend': 2600, 'recordDate': '2017-07-06', 'paymentDate': '2017-07-19', 'declarationDate': ''}, {'date': '2016-06-29', 'label': 'June 29, 16', 'adjDividend': 2600, 'dividend': 2600, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-07-06', 'label': 'July 06, 15', 'adjDividend': 800, 'dividend': 800, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-08-07', 'label': 'August 07, 14', 'adjDividend': 800, 'dividend': 800, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-07-23', 'label': 'July 23, 13', 'adjDividend': 680, 'dividend': 800, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-07-31', 'label': 'July 31, 12', 'adjDividend': 1000, 'dividend': 1000, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-07-26', 'label': 'July 26, 11', 'adjDividend': 880, 'dividend': 880, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-03-22', 'label': 'March 22, 11', 'adjDividend': 400, 'dividend': 400, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-07-14', 'label': 'July 14, 10', 'adjDividend': 650, 'dividend': 650, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-07-15', 'label': 'July 15, 09', 'adjDividend': 350, 'dividend': 350, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-07-16', 'label': 'July 16, 08', 'adjDividend': 250, 'dividend': 250, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-07-24', 'label': 'July 24, 07', 'adjDividend': 250, 'dividend': 250, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-07-24', 'label': 'July 24, 06', 'adjDividend': 500, 'dividend': 500, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-07-22', 'label': 'July 22, 05', 'adjDividend': 500, 'dividend': 500, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-07-19', 'label': 'July 19, 04', 'adjDividend': 300, 'dividend': 300, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2003-06-30', 'label': 'June 30, 03', 'adjDividend': 300, 'dividend': 300, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2002-07-03', 'label': 'July 03, 02', 'adjDividend': 300, 'dividend': 300, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
IMAS.JK,"[{'date': '2024-07-01', 'label': 'July 01, 24', 'adjDividend': 10, 'dividend': 10, 'recordDate': '2024-07-02', 'paymentDate': '2024-07-24', 'declarationDate': ''}, {'date': '2023-07-10', 'label': 'July 10, 23', 'adjDividend': 10, 'dividend': 10, 'recordDate': '2023-07-11', 'paymentDate': '2023-08-02', 'declarationDate': ''}, {'date': '2022-08-05', 'label': 'August 05, 22', 'adjDividend': 4, 'dividend': 4, 'recordDate': '2022-08-08', 'paymentDate': '2022-08-26', 'declarationDate': ''}, {'date': '2021-07-07', 'label': 'July 07, 21', 'adjDividend': 4, 'dividend': 4, 'recordDate': '2021-07-08', 'paymentDate': '2021-07-30', 'declarationDate': ''}, {'date': '2020-06-17', 'label': 'June 17, 20', 'adjDividend': 4.76332, 'dividend': 4.76332, 'recordDate': '2020-06-18', 'paymentDate': '2020-07-09', 'declarationDate': ''}, {'date': '2019-07-01', 'label': 'July 01, 19', 'adjDividend': 4.76332, 'dividend': 4.76332, 'recordDate': '2019-07-02', 'paymentDate': '2019-07-24', 'declarationDate': ''}, {'date': '2018-07-06', 'label': 'July 06, 18', 'adjDividend': 4.76332, 'dividend': 4.76332, 'recordDate': '2018-07-10', 'paymentDate': '2018-08-01', 'declarationDate': ''}, {'date': '2017-07-04', 'label': 'July 04, 17', 'adjDividend': 4.76332, 'dividend': 4.76332, 'recordDate': '2017-07-06', 'paymentDate': '2017-07-20', 'declarationDate': ''}, {'date': '2016-07-11', 'label': 'July 11, 16', 'adjDividend': 9.52663, 'dividend': 9.52663, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-07-07', 'label': 'July 07, 15', 'adjDividend': 9.52663, 'dividend': 9.52663, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-07-21', 'label': 'July 21, 14', 'adjDividend': 18.1006, 'dividend': 18.1006, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-08-21', 'label': 'August 21, 13', 'adjDividend': 27.62723, 'dividend': 27.62723, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-05-22', 'label': 'May 22, 12', 'adjDividend': 56.20712, 'dividend': 112.4142, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
