symbol,historical
ASII.JK,"[{'date': '2024-05-14', 'label': 'May 14, 24', 'adjDividend': 421, 'dividend': 421, 'recordDate': '2024-05-15', 'paymentDate': '2024-05-30', 'declarationDate': ''}, {'date': '2023-10-12', 'label': 'October 12, 23', 'adjDividend': 98, 'dividend': 98, 'recordDate': '2023-10-13', 'paymentDate': '2023-10-31', 'declarationDate': ''}, {'date': '2023-05-05', 'label': 'May 05, 23', 'adjDividend': 552, 'dividend': 552, 'recordDate': '2023-05-08', 'paymentDate': '2023-05-19', 'declarationDate': ''}, {'date': '2022-10-12', 'label': 'October 12, 22', 'adjDividend': 88, 'dividend': 88, 'recordDate': '2022-10-13', 'paymentDate': '2022-10-31', 'declarationDate': ''}, {'date': '2022-05-09', 'label': 'May 09, 22', 'adjDividend': 194, 'dividend': 194, 'recordDate': '2022-05-10', 'paymentDate': '2022-05-20', 'declarationDate': ''}, {'date': '2021-10-08', 'label': 'October 08, 21', 'adjDividend': 45, 'dividend': 45, 'recordDate': '2021-10-11', 'paymentDate': '2021-10-29', 'declarationDate': ''}, {'date': '2021-05-03', 'label': 'May 03, 21', 'adjDividend': 87, 'dividend': 87, 'recordDate': '2021-05-04', 'paymentDate': '2021-05-25', 'declarationDate': ''}, {'date': '2020-10-07', 'label': 'October 07, 20', 'adjDividend': 27, 'dividend': 27, 'recordDate': '2020-10-08', 'paymentDate': '2020-10-27', 'declarationDate': ''}, {'date': '2020-06-25', 'label': 'June 25, 20', 'adjDividend': 157, 'dividend': 157, 'recordDate': '2020-06-26', 'paymentDate': '2020-07-10', 'declarationDate': ''}, {'date': '2019-10-07', 'label': 'October 07, 19', 'adjDividend': 57, 'dividend': 57, 'recordDate': '2019-10-08', 'paymentDate': '2019-10-30', 'declarationDate': ''}, {'date': '2019-05-07', 'label': 'May 07, 19', 'adjDividend': 154.13001, 'dividend': 154.13, 'recordDate': '2019-05-08', 'paymentDate': '2019-05-24', 'declarationDate': ''}, {'date': '2018-10-05', 'label': 'October 05, 18', 'adjDividend': 60, 'dividend': 60, 'recordDate': '2018-10-09', 'paymentDate': '2018-10-31', 'declarationDate': ''}, {'date': '2018-05-04', 'label': 'May 04, 18', 'adjDividend': 130, 'dividend': 130, 'recordDate': '2018-05-08', 'paymentDate': '2018-05-25', 'declarationDate': ''}, {'date': '2017-10-03', 'label': 'October 03, 17', 'adjDividend': 55, 'dividend': 55, 'recordDate': '2017-10-05', 'paymentDate': '2017-10-27', 'declarationDate': ''}, {'date': '2017-05-02', 'label': 'May 02, 17', 'adjDividend': 113, 'dividend': 113, 'recordDate': '2017-05-04', 'paymentDate': '2017-05-19', 'declarationDate': ''}, {'date': '2016-09-27', 'label': 'September 27, 16', 'adjDividend': 55, 'dividend': 55, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2016-05-09', 'label': 'May 09, 16', 'adjDividend': 113, 'dividend': 113, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-09-28', 'label': 'September 28, 15', 'adjDividend': 64, 'dividend': 64, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-05-07', 'label': 'May 07, 15', 'adjDividend': 152, 'dividend': 152, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-10-15', 'label': 'October 15, 14', 'adjDividend': 64, 'dividend': 64, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-05-23', 'label': 'May 23, 14', 'adjDividend': 152, 'dividend': 152, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-10-11', 'label': 'October 11, 13', 'adjDividend': 64, 'dividend': 64, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-05-21', 'label': 'May 21, 13', 'adjDividend': 150, 'dividend': 150, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-10-19', 'label': 'October 19, 12', 'adjDividend': 66, 'dividend': 66, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-05-21', 'label': 'May 21, 12', 'adjDividend': 138, 'dividend': 1380, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-10-27', 'label': 'October 27, 11', 'adjDividend': 60, 'dividend': 600, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-05-30', 'label': 'May 30, 11', 'adjDividend': 113, 'dividend': 1130, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-10-28', 'label': 'October 28, 10', 'adjDividend': 47, 'dividend': 470, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-06-17', 'label': 'June 17, 10', 'adjDividend': 83, 'dividend': 830, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-10-30', 'label': 'October 30, 09', 'adjDividend': 29, 'dividend': 290, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-06-18', 'label': 'June 18, 09', 'adjDividend': 57, 'dividend': 570, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-10-29', 'label': 'October 29, 08', 'adjDividend': 30, 'dividend': 300, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-06-19', 'label': 'June 19, 08', 'adjDividend': 48.4, 'dividend': 484, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-10-30', 'label': 'October 30, 07', 'adjDividend': 16, 'dividend': 160, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-06-15', 'label': 'June 15, 07', 'adjDividend': 29, 'dividend': 290, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-10-30', 'label': 'October 30, 06', 'adjDividend': 15, 'dividend': 150, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-06-16', 'label': 'June 16, 06', 'adjDividend': 34, 'dividend': 340, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-11-10', 'label': 'November 10, 05', 'adjDividend': 10, 'dividend': 100, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-06-17', 'label': 'June 17, 05', 'adjDividend': 27, 'dividend': 270, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-11-02', 'label': 'November 02, 04', 'adjDividend': 10, 'dividend': 100, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-06-29', 'label': 'June 29, 04', 'adjDividend': 17, 'dividend': 170, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2003-12-02', 'label': 'December 02, 03', 'adjDividend': 5, 'dividend': 50, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
CPRO.JK,[]
CPIN.JK,"[{'date': '2024-06-03', 'label': 'June 03, 24', 'adjDividend': 30, 'dividend': 30, 'recordDate': '2024-06-04', 'paymentDate': '2024-06-13', 'declarationDate': ''}, {'date': '2023-11-17', 'label': 'November 17, 23', 'adjDividend': 100, 'dividend': 100, 'recordDate': '2023-11-20', 'paymentDate': '2023-11-20', 'declarationDate': ''}, {'date': '2022-06-03', 'label': 'June 03, 22', 'adjDividend': 108, 'dividend': 108, 'recordDate': '2022-06-06', 'paymentDate': '2022-06-14', 'declarationDate': ''}, {'date': '2021-08-04', 'label': 'August 04, 21', 'adjDividend': 112, 'dividend': 112, 'recordDate': '2021-08-05', 'paymentDate': '2021-08-13', 'declarationDate': ''}, {'date': '2020-09-03', 'label': 'September 03, 20', 'adjDividend': 81, 'dividend': 81, 'recordDate': '2020-09-04', 'paymentDate': '2020-09-16', 'declarationDate': ''}, {'date': '2019-06-11', 'label': 'June 11, 19', 'adjDividend': 118, 'dividend': 118, 'recordDate': '2019-06-12', 'paymentDate': '2019-06-18', 'declarationDate': ''}, {'date': '2018-06-04', 'label': 'June 04, 18', 'adjDividend': 56, 'dividend': 56, 'recordDate': '2018-06-06', 'paymentDate': '2018-06-22', 'declarationDate': ''}, {'date': '2017-06-02', 'label': 'June 02, 17', 'adjDividend': 56, 'dividend': 56, 'recordDate': '2017-06-06', 'paymentDate': '2017-06-16', 'declarationDate': ''}, {'date': '2016-06-23', 'label': 'June 23, 16', 'adjDividend': 29, 'dividend': 29, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-06-29', 'label': 'June 29, 15', 'adjDividend': 18, 'dividend': 18, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-07-01', 'label': 'July 01, 14', 'adjDividend': 46, 'dividend': 46, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-07-01', 'label': 'July 01, 13', 'adjDividend': 46, 'dividend': 46, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-06-08', 'label': 'June 08, 12', 'adjDividend': 42, 'dividend': 42, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-06-17', 'label': 'June 17, 11', 'adjDividend': 39.8, 'dividend': 39.8, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-01-25', 'label': 'January 25, 11', 'adjDividend': 25, 'dividend': 25, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-06-23', 'label': 'June 23, 10', 'adjDividend': 33.32, 'dividend': 166.6, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-07-31', 'label': 'July 31, 07', 'adjDividend': 3.8, 'dividend': 38, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-06-22', 'label': 'June 22, 06', 'adjDividend': 1, 'dividend': 10, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
TINS.JK,"[{'date': '2023-06-26', 'label': 'June 26, 23', 'adjDividend': 41.9516, 'dividend': 41.9516, 'recordDate': '2023-06-27', 'paymentDate': '2023-07-14', 'declarationDate': ''}, {'date': '2022-06-06', 'label': 'June 06, 22', 'adjDividend': 61.2236, 'dividend': 61.2236, 'recordDate': '2022-06-07', 'paymentDate': '2022-06-24', 'declarationDate': ''}, {'date': '2019-05-03', 'label': 'May 03, 19', 'adjDividend': 24.97, 'dividend': 24.97, 'recordDate': '2019-05-06', 'paymentDate': '2019-05-24', 'declarationDate': ''}, {'date': '2018-04-24', 'label': 'April 24, 18', 'adjDividend': 23.61059, 'dividend': 23.61059, 'recordDate': '2018-04-26', 'paymentDate': '2018-05-17', 'declarationDate': ''}, {'date': '2017-05-09', 'label': 'May 09, 17', 'adjDividend': 10.14394, 'dividend': 10.14394, 'recordDate': '2017-05-12', 'paymentDate': '2017-06-02', 'declarationDate': ''}, {'date': '2016-04-15', 'label': 'April 15, 16', 'adjDividend': 4.092, 'dividend': 4.092, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-04-06', 'label': 'April 06, 15', 'adjDividend': 25.6977, 'dividend': 25.6977, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-04-17', 'label': 'April 17, 14', 'adjDividend': 38.03946, 'dividend': 56.29, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-05-13', 'label': 'May 13, 13', 'adjDividend': 28.97054, 'dividend': 42.87, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-05-11', 'label': 'May 11, 12', 'adjDividend': 60.20494, 'dividend': 89.09, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-07-19', 'label': 'July 19, 11', 'adjDividend': 63.63788, 'dividend': 94.17, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-07-12', 'label': 'July 12, 10', 'adjDividend': 21.06396, 'dividend': 31.17, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-06-30', 'label': 'June 30, 09', 'adjDividend': 89.87829, 'dividend': 133, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-07-18', 'label': 'July 18, 08', 'adjDividend': 119.80708, 'dividend': 1772.8805, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-05-14', 'label': 'May 14, 07', 'adjDividend': 13.97371, 'dividend': 206.7801, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-06-08', 'label': 'June 08, 06', 'adjDividend': 6.81521, 'dividend': 100.85, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-06-21', 'label': 'June 21, 05', 'adjDividend': 10.9611, 'dividend': 162.2, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-06-08', 'label': 'June 08, 04', 'adjDividend': 4.58109, 'dividend': 67.79, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2004-05-12', 'label': 'May 12, 04', 'adjDividend': 4.01817, 'dividend': 59.46, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2003-06-05', 'label': 'June 05, 03', 'adjDividend': 0.43452, 'dividend': 6.43, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2002-06-10', 'label': 'June 10, 02', 'adjDividend': 1.67795, 'dividend': 24.83, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2001-06-11', 'label': 'June 11, 01', 'adjDividend': 8.03701, 'dividend': 118.93, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
SMIL.JK,"[{'date': '2024-07-09', 'label': 'July 09, 24', 'adjDividend': 1.9, 'dividend': 1.9, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
ASSA.JK,"[{'date': '2024-07-05', 'label': 'July 05, 24', 'adjDividend': 20, 'dividend': 20, 'recordDate': '2024-07-08', 'paymentDate': '2024-07-26', 'declarationDate': ''}, {'date': '2018-05-09', 'label': 'May 09, 18', 'adjDividend': 11.07391, 'dividend': 11.07391, 'recordDate': '2018-05-14', 'paymentDate': '2018-05-31', 'declarationDate': ''}, {'date': '2017-06-08', 'label': 'June 08, 17', 'adjDividend': 6.45978, 'dividend': 6.45978, 'recordDate': '2017-06-12', 'paymentDate': '2017-06-22', 'declarationDate': ''}, {'date': '2016-06-14', 'label': 'June 14, 16', 'adjDividend': 3.6913, 'dividend': 3.6913, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-06-16', 'label': 'June 16, 15', 'adjDividend': 4.61413, 'dividend': 4.61413, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-05-30', 'label': 'May 30, 14', 'adjDividend': 8.30543, 'dividend': 8.30543, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
SGER.JK,"[{'date': '2024-05-28', 'label': 'May 28, 24', 'adjDividend': 28, 'dividend': 100, 'recordDate': '2024-05-29', 'paymentDate': '2024-06-14', 'declarationDate': ''}, {'date': '2023-09-05', 'label': 'September 05, 23', 'adjDividend': 26.35294, 'dividend': 28, 'recordDate': '2023-09-06', 'paymentDate': '2023-09-22', 'declarationDate': ''}, {'date': '2023-06-14', 'label': 'June 14, 23', 'adjDividend': 34.89628, 'dividend': 37.0773, 'recordDate': '2023-06-15', 'paymentDate': '2023-07-07', 'declarationDate': ''}, {'date': '2022-06-30', 'label': 'June 30, 22', 'adjDividend': 16, 'dividend': 32.3, 'recordDate': '2022-07-01', 'paymentDate': '2022-07-20', 'declarationDate': ''}, {'date': '2021-12-13', 'label': 'December 13, 21', 'adjDividend': 4.4582, 'dividend': 9, 'recordDate': '2021-12-14', 'paymentDate': '2021-12-24', 'declarationDate': ''}, {'date': '2021-08-12', 'label': 'August 12, 21', 'adjDividend': 1.98142, 'dividend': 28, 'recordDate': '2021-08-13', 'paymentDate': '2021-09-03', 'declarationDate': ''}]"
BIMA.JK,[]
BEEF.JK,[]
KKGI.JK,"[{'date': '2024-07-08', 'label': 'July 08, 24', 'adjDividend': 50, 'dividend': 50, 'recordDate': '2024-07-09', 'paymentDate': '2024-07-18', 'declarationDate': ''}, {'date': '2023-07-05', 'label': 'July 05, 23', 'adjDividend': 24.13127, 'dividend': 25, 'recordDate': '2023-07-06', 'paymentDate': '2023-07-14', 'declarationDate': ''}, {'date': '2022-07-11', 'label': 'July 11, 22', 'adjDividend': 19.30502, 'dividend': 20, 'recordDate': '2022-07-12', 'paymentDate': '2022-07-20', 'declarationDate': ''}, {'date': '2021-11-05', 'label': 'November 05, 21', 'adjDividend': 19.30502, 'dividend': 20, 'recordDate': '2021-11-08', 'paymentDate': '2021-11-22', 'declarationDate': ''}, {'date': '2021-08-18', 'label': 'August 18, 21', 'adjDividend': 5.30888, 'dividend': 5.5, 'recordDate': '2021-08-19', 'paymentDate': '2021-08-24', 'declarationDate': ''}, {'date': '2020-09-04', 'label': 'September 04, 20', 'adjDividend': 3.66795, 'dividend': 3.8, 'recordDate': '2020-09-07', 'paymentDate': '2020-09-25', 'declarationDate': ''}, {'date': '2018-07-06', 'label': 'July 06, 18', 'adjDividend': 1.9305, 'dividend': 2, 'recordDate': '2018-07-10', 'paymentDate': '2018-07-30', 'declarationDate': ''}, {'date': '2016-06-23', 'label': 'June 23, 16', 'adjDividend': 3.861, 'dividend': 20, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-06-27', 'label': 'June 27, 14', 'adjDividend': 19.30502, 'dividend': 100, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-08-13', 'label': 'August 13, 13', 'adjDividend': 14.47876, 'dividend': 75, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-05-28', 'label': 'May 28, 12', 'adjDividend': 38.61004, 'dividend': 200, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-11-09', 'label': 'November 09, 11', 'adjDividend': 9.65251, 'dividend': 50, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-07-06', 'label': 'July 06, 11', 'adjDividend': 9.65251, 'dividend': 50, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-08-03', 'label': 'August 03, 10', 'adjDividend': 1.9305, 'dividend': 10, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-07-22', 'label': 'July 22, 09', 'adjDividend': 0.96525, 'dividend': 20, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
INCO.JK,"[{'date': '2023-05-16', 'label': 'May 16, 23', 'adjDividend': 89.6, 'dividend': 89.6, 'recordDate': '2023-05-17', 'paymentDate': '2023-05-31', 'declarationDate': ''}, {'date': '2021-05-10', 'label': 'May 10, 21', 'adjDividend': 47.3, 'dividend': 47.3, 'recordDate': '2021-05-11', 'paymentDate': '2021-05-28', 'declarationDate': ''}, {'date': '2014-12-01', 'label': 'December 01, 14', 'adjDividend': 123.81, 'dividend': 123.81, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-12-02', 'label': 'December 02, 13', 'adjDividend': 30.14, 'dividend': 30.14, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-05-15', 'label': 'May 15, 13', 'adjDividend': 24.6, 'dividend': 24.6, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-12-07', 'label': 'December 07, 12', 'adjDividend': 24.31, 'dividend': 24.31, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-05-15', 'label': 'May 15, 12', 'adjDividend': 79.7, 'dividend': 79.7, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-11-03', 'label': 'November 03, 11', 'adjDividend': 89.4, 'dividend': 89.4, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-05-03', 'label': 'May 03, 11', 'adjDividend': 125.06, 'dividend': 125.06, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-10-06', 'label': 'October 06, 10', 'adjDividend': 178.44, 'dividend': 178.44, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2010-03-25', 'label': 'March 25, 10', 'adjDividend': 128.17, 'dividend': 128.17, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2009-12-10', 'label': 'December 10, 09', 'adjDividend': 104.72, 'dividend': 104.72, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2008-04-17', 'label': 'April 17, 08', 'adjDividend': 0.02014, 'dividend': 0.02014, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-11-21', 'label': 'November 21, 07', 'adjDividend': 0.09787, 'dividend': 0.9787, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2007-04-25', 'label': 'April 25, 07', 'adjDividend': 0.0475, 'dividend': 0.475, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-11-20', 'label': 'November 20, 06', 'adjDividend': 22.858, 'dividend': 228.58, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2006-04-26', 'label': 'April 26, 06', 'adjDividend': 74.588, 'dividend': 745.88, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2005-11-23', 'label': 'November 23, 05', 'adjDividend': 0.0025, 'dividend': 0.025, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
ICBP.JK,"[{'date': '2024-07-09', 'label': 'July 09, 24', 'adjDividend': 200, 'dividend': 200, 'recordDate': '2024-07-10', 'paymentDate': '2024-07-25', 'declarationDate': ''}, {'date': '2023-07-07', 'label': 'July 07, 23', 'adjDividend': 188, 'dividend': 188, 'recordDate': '2023-07-10', 'paymentDate': '2023-07-25', 'declarationDate': ''}, {'date': '2022-08-02', 'label': 'August 02, 22', 'adjDividend': 215, 'dividend': 215, 'recordDate': '2022-08-03', 'paymentDate': '2022-08-23', 'declarationDate': ''}, {'date': '2021-09-07', 'label': 'September 07, 21', 'adjDividend': 215, 'dividend': 215, 'recordDate': '2021-09-08', 'paymentDate': '2021-09-28', 'declarationDate': ''}, {'date': '2020-07-24', 'label': 'July 24, 20', 'adjDividend': 215, 'dividend': 215, 'recordDate': '2020-07-27', 'paymentDate': '2020-08-12', 'declarationDate': ''}, {'date': '2019-06-17', 'label': 'June 17, 19', 'adjDividend': 137, 'dividend': 137, 'recordDate': '2019-06-18', 'paymentDate': '2019-07-04', 'declarationDate': ''}, {'date': '2018-11-06', 'label': 'November 06, 18', 'adjDividend': 58, 'dividend': 58, 'recordDate': '2018-11-08', 'paymentDate': '2018-11-28', 'declarationDate': ''}, {'date': '2018-06-20', 'label': 'June 20, 18', 'adjDividend': 162, 'dividend': 162, 'recordDate': '2018-06-22', 'paymentDate': '2018-07-03', 'declarationDate': ''}, {'date': '2017-06-12', 'label': 'June 12, 17', 'adjDividend': 154, 'dividend': 154, 'recordDate': '2017-06-14', 'paymentDate': '2017-07-04', 'declarationDate': ''}, {'date': '2016-06-13', 'label': 'June 13, 16', 'adjDividend': 128, 'dividend': 256, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2015-05-19', 'label': 'May 19, 15', 'adjDividend': 111, 'dividend': 222, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2014-07-11', 'label': 'July 11, 14', 'adjDividend': 95, 'dividend': 190, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2013-07-15', 'label': 'July 15, 13', 'adjDividend': 93, 'dividend': 186, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2012-07-16', 'label': 'July 16, 12', 'adjDividend': 84.5, 'dividend': 169, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}, {'date': '2011-06-22', 'label': 'June 22, 11', 'adjDividend': 58, 'dividend': 116, 'recordDate': '', 'paymentDate': '', 'declarationDate': ''}]"
MTEL.JK,"[{'date': '2024-06-11', 'label': 'June 11, 24', 'adjDividend': 17.0562, 'dividend': 17.0562, 'recordDate': '2024-06-12', 'paymentDate': '2024-07-03', 'declarationDate': ''}, {'date': '2023-05-03', 'label': 'May 03, 23', 'adjDividend': 6.2631, 'dividend': 6.2631, 'recordDate': '2023-05-04', 'paymentDate': '2023-05-17', 'declarationDate': ''}, {'date': '2022-05-11', 'label': 'May 11, 22', 'adjDividend': 11.57, 'dividend': 11.57, 'recordDate': '2022-05-12', 'paymentDate': '2022-05-25', 'declarationDate': ''}]"
MAPA.JK,"[{'date': '2024-07-08', 'label': 'July 08, 24', 'adjDividend': 5, 'dividend': 5, 'recordDate': '2024-07-09', 'paymentDate': '2024-07-25', 'declarationDate': ''}, {'date': '2023-07-04', 'label': 'July 04, 23', 'adjDividend': 4, 'dividend': 40, 'recordDate': '2023-07-05', 'paymentDate': '2023-07-17', 'declarationDate': ''}]"
